CD_FILIAL;NOME_FILIAL;BPLFrName;ENDERECO;AddressFr;UserSign2;UpdateDate;DflWhs;DflTaxCode;CNPJ;INSCRICAO_MUNICIPAL;PrefState;ENDEREÇO_1;ENDEREÇO_2;ENDEREÇO_3;ENDEREÇO_4;CEP;REGIÃO;CIDADE;ESTADO;County;PAÍS;NOME;DfltResWhs;U_Matriz;U_MatrizGrupo;U_SKILL_CNPJSCP;U_VF_Medicao;InscricaoEstadual;Situacao
66;MEDALHA NUTRICAO ANIMAL LTDA;;"GLBTARUMA,S/N 78.245-000-VILA BELA DA SANTISSIMA TRINDADE-MT BRASIL";;54;26/09/2025 00:00;EN67;200;54.337.819/0001-78;140487530;MT;GLB;TARUMA;S/N;;78.245-000;ZONA RURAL;VILA BELA DA SANTISSIMA TRINDADE;MT;2415;BR;MEDALHA NUTRICAO ANIMAL;EN67;S;;;N;14.048.753-0;Ativo
58;AGROPECUARIA JATOBA LTDA;;"RODBR 163 KM 1123,S/N 68.379-200-ALTAMIRA-PA BRASIL";;54;15/01/2025 00:00;EN59;54;52.979.392/0001-86;159269342;PA;ROD;BR 163 KM 1123;S/N;ADT 65 KM PELA VICINAL TONELLI;68.379-200;ZONA RURAL;ALTAMIRA;PA;2424;BR;FAZENDA JATOBA;EN59;S;;;N;15.926.934-2;Ativo
9;V. F. GOMES AGROPECUARIA LTDA;;"GLBTARUMA,S/N 78.245-000-Vila Bela da Santíssima Trindade-MT BRASIL";;54;13/10/2025 00:00;EN54;54;45.061.767/0001-69;14.019.336-7;MT;GLB;TARUMA;S/N;;78.245-000;ZONA RURAL;Vila Bela da Santíssima Trindade;MT;2415;BR;FAZENDA MEDALHA MILAGROSA;EN54;S;;;N;14.019.336-7;Ativo
3;V. F. GOMES CONSTRUTORA LTDA - FILIAL MT;;"Ruadas Castanheiras,1001 78.550-290-Sinop-MT BRASIL";;17;04/05/2025 00:00;EN01;601;13.495.966/0002-70;13757078-3;MT;Rua;das Castanheiras;1001;Andar 4 sala 405;78.550-290;Setor Comercial;Sinop;MT;2403;BR;V. F. GOMES CONSTRUTORA LTDA - FILIAL MT;EN01;N;1;;N;13.757.078-3;Baixado
4;V. F. GOMES CONSTRUTORA LTDA - FILIAL PA;;"RuaRodovia BR 163,s/n 68.190-000-Itaituba-PA BRASIL";;17;04/05/2025 00:00;EN02;601;13.495.966/0003-50;15.644.171-3;PA;Rua;Rodovia BR 163;S/N;Km 30;68.190-000;Campo Verde;Itaituba;PA;2474;BR;V. F. GOMES CONSTRUTORA LTDA - FILIAL PA;EN02;N;1;;N;15.644.171-3;Baixado
5;V. F. GOMES CONSTRUTORA LTDA - FILIAL RS;;"RuaAlexandre de Nardi,s/n 95.320-000-Nova Prata-RS BRASIL";;17;04/05/2025 00:00;EN03;601;13.495.966/0004-31;085/0052211;RS;Rua;Alexandre de Nardi;S/N;;95.320-000;Rio Branco;Nova Prata;RS;4196;BR;V. F. GOMES CONSTRUTORA LTDA - FILIAL RS;EN03;N;1;;N;085/0052211;Baixado
6;V. F. GOMES CONSTRUTORA LTDA - FILIAL RO;;"RuaRodovia BR-364,s/n 76.815-800-Porto Velho-RO BRASIL";;17;04/05/2025 00:00;EN04;601;13.495.966/0005-12;;;Rua;Rodovia BR-364;S/N;Km 12;76.815-800;ZONA RURAL;Porto Velho;RO;3884;BR;V. F. GOMES CONSTRUTORA LTDA - FILIAL RO;EN04;N;1;;N;Isento;Ativo
8;V.F. GOMES LOCACOES DE MAQUINAS E VEICULOS LTDA;;"RuaHaroldo Veloso,728 68.181-030-Itaituba-PA BRASIL";;17;08/05/2025 00:00;EN06;1113;43.687.443/0001-05;15.962.242-5;PA;Rua;Haroldo Veloso;728;;68.181-030;Aeroporto Velho;Itaituba;PA;2474;BR;V.F. GOMES LOCACOES;EN06;S;;;N;15.962.242-5;Ativo
7;V. F. GOMES CONSTRUTORA LTDA - FILIAL GO;;"RuaRodovia GO 320,s/n 75.955-000-Indiara-GO BRASIL";;17;04/05/2025 00:00;EN05;601;13.495.966/0006-01;10.849.448-9;GO;Rua;Rodovia GO 320;S/N;Km 1;75.955-000;ZONA RURAL;Indiara;GO;990;BR;V. F. GOMES CONSTRUTORA LTDA - FILIAL GO;EN05;N;1;;N;10.849.448-9;Baixado
11;VSB GESTAO E ADMINISTRACAO LTDA;;"RuaHaroldo Veloso,728 68.181-030-Itaituba-PA BRASIL";;54;19/09/2025 00:00;EN55;1014;47.554.440/0001-54;Isento;;Rua;Haroldo Veloso;728;FUNDOSANEXO B;68.181-030;Aeroporto Velho;Itaituba;PA;2474;BR;VSB GESTAO E ADMINISTRACAO;EN55;S;;;N;Isento;
